,Marca,Modelo,Version,TipoVehiculo,Combustible,Potencia,Transmisión,Cabina,Traccion,Potencia.1,Consumo,Seguridad,C,P,S,C-Potencia,C-Consumo,C-Seguridad,Puntuacion
23,Chevrolet,TRACKER,TRACKER 1.2 TURBO MT5,SUV,Nafta,120,Manual,,4x2,MEDIO,BAJO,ALTO,2,1,3,1,0,2,14
24,Chevrolet,ONIX,ONIX 1.0T PLUS LTZ L/21,Sedan 5P,Nafta,98,Manual,,4x2,BAJO,BAJO,ALTO,1,1,3,0,0,2,12
25,Chevrolet,ONIX,ONIX 1.2 LS L/19,Sedan 5P,Nafta,98,Manual,,4x2,BAJO,MEDIO,ALTO,1,2,3,0,1,2,10
26,Chevrolet,S10,2.8 Ls Cd Tdci 200cv 4x2,Camioneta,Diesel,200,Manual,Doble,4x2,ALTO,ALTO,BAJO,3,3,1,2,2,0,2
27,Chevrolet,S10,2.8 Lt Cd Tdci 200cv 4x4,Camioneta,Diesel,200,Manual,Doble,4x4,ALTO,ALTO,BAJO,3,3,1,2,2,0,2
28,Citroen,C5 AIRCROSS,C 5 1.6 THP AIRCROSS FEEL PACK,SUV,Nafta,165,Automática,,4x2,ALTO,ALTO,ALTO,3,3,3,2,2,2,12
29,Citroen,C4 CACTUS,C4 Cactus 1.6 Vti 115 Feel,SUV,Nafta,110,Automática,,4x2,MEDIO,BAJO,ALTO,2,1,3,1,0,2,14
30,Citroen,JUMPER,JUMPER 2.2 HDI MINIBUS 17+1 L4 H2,Utilitario,Diesel,115,Manual,,4x2,MEDIO,ALTO,ALTO,2,3,3,1,2,2,10
31,Jeep,RENEGADE,Sport MT5,SUV,Nafta,130,Manual,,4x2,MEDIO,ALTO,MEDIO,2,3,2,1,2,1,5
32,Ram,1500,RAM 1500 LARAMIE,Camioneta,Nafta,395,Automática,Doble,4x4,ALTO,ALTO,ALTO,3,3,3,2,2,2,12
33,Peugeot,208,208 1.6 Active,Sedan 5P,Nafta,115,Manual,,4x2,MEDIO,BAJO,ALTO,2,1,3,1,0,2,14
34,Peugeot,208,208 1.6 Allure,Sedan 5P,Nafta,115,Manual,,4x2,MEDIO,BAJO,ALTO,2,1,3,1,0,2,14
35,Peugeot,2008,2008 1.6 FELINE TIPTRONIC L/22,SUV,Nafta,115,Automática,,4x2,MEDIO,BAJO,ALTO,2,1,3,1,0,2,14
36,Peugeot,3008,3008 1.6 GT PACK TIPTRONIC L/21,SUV,Nafta,165,Automática,,4x2,ALTO,BAJO,ALTO,3,1,3,2,0,2,16
37,Peugeot,EXPERT,EXPERT 1.6 HDI PREMIUM,Utilitario,Diesel,115,Manual,,4x2,MEDIO,MEDIO,MEDIO,2,2,2,1,1,1,7
